Group,Sex,Days,Slope_ppm_per_min,Number_of_pods,Weight_mg,Resp,ID,Food
Control,Female,7,-0.487295082,3,0.064,-7.613985656,Control Female,Algae
Control,Female,7,-0.689682292,3,0.071,-9.713835104,Control Female,Algae
Control,Female,7,-1.011088606,3,0.066,-15.31952433,Control Female,Algae
Control,Female,7,-0.978765072,3,0.061,-16.04532906,Control Female,Algae
Control,Male,7,-0.181724021,3,0.064,-2.83943783,Control Male,Algae
Control,Male,7,-0.818423655,3,0.056,-14.61470813,Control Male,Algae
Control,Male,7,-0.14181344,3,0.067,-2.116618506,Control Male,Algae
Control,Male,7,-0.852286276,3,0.066,-12.91342842,Control Male,Algae
DNP,Female,7,-0.709950549,3,0.067,-10.59627685,DNP Female,Algae
DNP,Female,7,-0.602363501,3,0.076,-7.925835538,DNP Female,Algae
DNP,Female,7,-0.89623696,3,0.055,-16.29521745,DNP Female,Algae
DNP,Female,7,-0.325146322,3,0.072,-4.515921134,DNP Female,Algae
DNP,Male,7,-0.53799011,3,0.069,-7.796958112,DNP Male,Algae
DNP,Female,7,-1.020965316,3,0.073,-13.98582625,DNP Female,Algae
DNP,Male,7,-1.189926162,3,0.064,-18.59259628,DNP Male,Algae
DNP,Male,7,-1.22978255,3,0.054,-22.77375092,DNP Male,Algae
DNP,Male,7,-0.47,3,0.031,-15.16129032,DNP Male,Algae
DNP,Male,7,-0.38,3,0.011,-34.54545455,DNP Male,Algae
DNP,Male,7,-1.78,3,0.021,-84.76190476,DNP Male,Algae
DNP,Male,7,-1.28,3,0.021,-60.95238095,DNP Male,Algae
DNP,Female,7,-1.24,3,0.023,-53.91304348,DNP Female,Algae
DNP,Female,7,-0.43,3,0.021,-20.47619048,DNP Female,Algae
DNP,Female,7,-0.77,3,0.019,-40.52631579,DNP Female,Algae
DNP,Female,7,-0.23,3,0.021,-10.95238095,DNP Female,Algae
DNP,Female,7,-0.83,3,0.024,-34.58333333,DNP Female,Algae
DNP,Female,7,-0.67,3,0.022,-30.45454545,DNP Female,Algae
Control,Male,7,-0.72,3,0.019,-37.89473684,Control Male,Algae
Control,Male,7,-0.64,3,0.018,-35.55555556,Control Male,Algae
Control,Male,7,-0.87,3,0.024,-36.25,Control Male,Algae
Control,Male,7,-1.33,3,0.021,-63.33333333,Control Male,Algae
Control,Female,7,-1.55,3,0.023,-67.39130435,Control Female,Algae
Control,Female,7,-1.31,3,0.03,-43.66666667,Control Female,Algae
Control,Female,7,-1.78,3,0.025,-71.2,Control Female,Algae
Control,Female,7,-1.38,3,0.019,-72.63157895,Control Female,Algae
Control,Female,7,-0.9,3,0.02,-45,Control Female,Algae
Control,Female,8,-0.758153431,3,0.059,-12.85005815,Control Female,Algae
Control,Female,8,-1.356925885,3,0.07,-19.3846555,Control Female,Algae
Control,Female,8,-1.215670588,3,0.0727,-16.72174123,Control Female,Algae
Control,Male,8,-0.718151931,3,0.055,-13.05730783,Control Male,Algae
Control,Male,8,-0.484393165,3,0.058,-8.351606289,Control Male,Algae
Control,Male,8,-0.272510219,3,0.059,-4.618817273,Control Male,Algae
DNP,Female,8,-1.118166931,3,0.079,-14.15401179,DNP Female,Algae
DNP,Female,8,-1.022538345,3,0.08,-12.78172931,DNP Female,Algae
DNP,Female,8,-0.795029814,3,0.082,-9.695485532,DNP Female,Algae
DNP,Female,8,-0.624398415,3,0.063,-9.911085951,DNP Female,Algae
DNP,Female,8,-1.461304799,3,0.078,-18.73467691,DNP Female,Algae
DNP,Male,8,-1.383176869,3,0.07,-19.75966956,DNP Male,Algae
DNP,Male,8,-1.060039751,3,0.069,-15.36289495,DNP Male,Algae
DNP,Male,8,-0.946285486,3,0.06,-15.77142476,DNP Male,Algae
DNP,Male,8,-0.569396352,3,0.056,-10.16779201,DNP Male,Algae
